Location ,Length ,Class 
Maldives ,797,Adult
Chagos ,729.6,Adult
,,
Chagos ,686,Adult
Chagos ,686,Adult
SR,678.4,Adult
,,
,,
,,
SR,671.7,Adult
Chagos ,670.8,Adult
,,
,,
,,
SR,661.3,Adult
SR,655.6,Adult
SR,650.9,Adult
SR,646.1,Adult
Chagos ,646.1,Adult
Chagos ,642.3,Adult
Chagos ,636.6,Adult
SR,635.7,Adult
,,
SR,626.7,Adult
Chagos ,626.2,Adult
Chagos ,623.3,Adult
,,
,,
SR,621.4,Adult
SR,621.4,Adult
SR,621,Adult
,,
SR,618.6,Adult
,,
SR,616.7,Adult
SR,616.7,Adult
Chagos ,612.9,Adult
,,
,,
SR,609.6,Adult
,,
SR,607.2,Adult
SR,607.2,Adult
Chagos ,604.4,Adult
SR,602.5,Adult
,,
SR,601.5,Adult
SR,600.6,Adult
Chagos ,600.6,Adult
Chagos ,599.6,Adult
,,
,,
SR,593.9,Adult
SR,593,Adult
Chagos ,591.1,Adult
SR,587.8,Adult
,,
SR,586.3,Adult
SR,585.4,Adult
,,
,,
SR,581.6,Adult
Chagos ,580.6,Adult
,,
SR,579.7,Adult
SR,578.7,Adult
Maldives ,578.7,Adult
Chagos ,575.9,Adult
Chagos ,573.1,Adult
Chagos ,573.1,Adult
,,
SR,570.2,Adult
,,
,,
Chagos ,567.4,Adult
Chagos ,567.4,Adult
,,
Chagos ,565.5,Adult
,,
Chagos ,563.6,Adult
,,
,,
SR,562.6,Adult
Chagos ,561.7,Adult
SR,559.8,Adult
SR,558.3,Adult
,,
,,
,,
SR,553.1,Adult
SR,553.1,Adult
,,
,,
Chagos ,547.4,Adult
SR,546.5,Adult
SR,545.5,Adult
Chagos ,544.6,Adult
SR,543.2,Adult
Chagos ,542.7,Adult
Chagos ,542.7,Adult
,,
,,
SR,535.1,Adult
Chagos ,535.1,Adult
SR,534.2,Adult
,,
SR,531.3,Adult
,,
Chagos ,529.4,Adult
,,
SR,527.5,Adult
,,
,,
Chagos ,524.7,Adult
,,
,,
Chagos ,519,Adult
Chagos ,519,Adult
SR,518,Adult
Chagos ,517.1,Adult
,,
Chagos ,515.2,Adult
,,
Chagos ,510.4,Adult
,,
Chagos ,507.6,Adult
Maldives ,507.6,Adult
Chagos ,500,Adult
SR,498.1,Adult
SR,496.2,Adult
Chagos ,496.2,Adult
Chagos ,495.3,Adult
,,
,,
SR,493.4,Adult
SR,490.5,Adult
Chagos ,487.7,Adult
,,
Chagos ,485.8,Adult
,,
,,
,,
,,
,,
SR,479.1,Adult
SR,478.2,Adult
,,
,,
,,
Chagos ,469.6,Adult
SR,468.7,Adult
SR,468.7,Adult
Chagos ,467.7,Adult
SR,467.3,Adult
Maldives ,464.9,Adult
Maldives ,464.9,Adult
,,
,,
Maldives ,460.2,Adult
Chagos ,458.3,Adult
Chagos ,456.4,Adult
SR,455.4,Adult
SR,455.4,Adult
Maldives ,455.4,Adult
SR,452.6,Adult
Chagos ,450.7,Adult
Maldives ,450.7,Adult
,,
,,
SR,448.8,Adult
,,
SR,445.9,Adult
Maldives ,445.9,Adult
Maldives ,445.9,Adult
Chagos ,445,Adult
Chagos ,445,Adult
,,
Chagos ,444,Adult
,,
Chagos ,440.2,Adult
,,
Chagos ,439.3,Adult
SR,436.9,Adult
,,
SR,436.4,Adult
Chagos ,436.4,Adult
SR,433.6,Adult
Chagos ,433.6,Adult
SR,431.7,Adult
Chagos ,431.7,Adult
Maldives ,431.7,Adult
,,
Maldives ,426.9,Adult
,,
Chagos ,421.3,Adult
Chagos ,421.3,Adult
Chagos ,420.3,Adult
,,
,,
,,
SR,417.5,Adult
SR,415.6,Adult
Chagos ,414.6,Adult
Chagos ,412.7,Adult
Chagos ,408.9,Adult
,,
,,
,,
Chagos ,397.5,Juvenile
Chagos ,393.7,Juvenile
Maldives ,393.7,Juvenile
Chagos ,389.9,Juvenile
,,
Chagos ,384.3,Juvenile
,,
SR,379.5,Juvenile
,,
SR,377.6,Juvenile
,,
,,
SR,373.8,Juvenile
,,
Chagos ,372.9,Juvenile
SR,371.9,Juvenile
,,
,,
SR,366.2,Juvenile
SR,366.2,Juvenile
,,
SR,355.8,Juvenile
,,
,,
,,
SR,343.5,Juvenile
,,
Maldives ,336.8,Juvenile
,,
,,
,,
Chagos ,332.1,Juvenile
SR,329.2,Juvenile
,,
SR,327.3,Juvenile
Maldives ,327.3,Juvenile
SR,326.4,Juvenile
SR,322.6,Juvenile
Maldives ,322.6,Juvenile
,,
SR,317.8,Juvenile
Maldives ,317.8,Juvenile
SR,312.6,Juvenile
SR,312.1,Juvenile
,,
SR,309.3,Juvenile
SR,308.3,Juvenile
SR,307.4,Juvenile
Maldives ,303.6,Juvenile
SR,299.8,Juvenile
SR,289.4,Juvenile
SR,283.7,Juvenile
,,
Chagos ,275.1,Juvenile
SR,273.2,Juvenile
SR,270.4,Juvenile
SR,268,Juvenile
Maldives ,265.7,Juvenile
SR,265.2,Juvenile
,,
Maldives ,256.2,Juvenile
SR,255.7,Juvenile
Maldives ,246.7,Juvenile
SR,245.7,Juvenile
,,
Maldives ,237.2,Juvenile
SR,234.8,Juvenile
Maldives ,232.4,Juvenile
Maldives ,227.7,Juvenile
SR,223.9,Juvenile
SR,220.1,Juvenile
,,
Maldives ,218.2,Juvenile
SR,213.5,Juvenile
SR,209.2,Juvenile
Maldives ,194.5,Juvenile
SR,142.3,Juvenile
