Location ,Length ,Class 
RS,234,Adult
RS,250,Adult
RS,243,Adult
RS,194,Adult
RS,199,Adult
RS,236,Adult
RS,227,Adult
RS,245,Adult
RS,233,Adult
RS,243,Adult
RS,230,Adult
RS,274,Adult
RS,242,Adult
RS,231,Adult
RS,216,Adult
RS,221,Adult
RS,234,Adult
RS,225,Adult
RS,225,Adult
RS,203,Adult
RS,224,Adult
RS,233,Adult
RS,230,Adult
RS,231,Adult
RS,215,Adult
RS,216,Adult
RS,219,Adult
RS,243,Adult
RS,251,Adult
RS,226,Adult
RS,239,Adult
RS,230,Adult
RS,239,Adult
RS,201,Adult
RS,220,Adult
RS,204,Adult
RS,263,Adult
RS,237,Adult
RS,240,Adult
RS,272,Adult
RS,235,Adult
RS,259,Adult
RS,210,Adult
RS,175,Adult
RS,203,Adult
RS,222,Adult
RS,205,Adult
RS,250,Adult
RS,192,Adult
RS,216,Adult
RS,190,Adult
SR,247,Adult
SR,229,Adult
SR,202,Adult
SR,229,Adult
SR,204,Adult
SR,216,Adult
SR,201,Adult
SR,211,Adult
SR,215,Adult
SR,199,Adult
SR,215,Adult
SR,199,Adult
SR,210,Adult
SR,220,Adult
SR,204,Adult
SR,211,Adult
SR,192,Adult
SR,211,Adult
SR,187,Adult
SR,196,Adult
SR,190,Adult
SR,197,Adult
SR,232,Adult
SR,234,Adult
SR,231,Adult
SR,250,Adult
SR,233,Adult
SR,212,Adult
SR,216,Adult
SR,233,Adult
SR,219,Adult
SR,202,Adult
SR,190,Adult
SR,201,Adult
SR,190,Adult
SR,193,Adult
SR,211,Adult
SR,211,Adult
SR,234,Adult
SR,218,Adult
SR,227,Adult
SR,215,Adult
SR,215,Adult
SR,225,Adult
SR,211,Adult
SR,219,Adult
SR,183,Adult
SR,159,Adult
Chagos ,227,Adult
Chagos ,215,Adult
Chagos ,222,Adult
Chagos ,245,Adult
Chagos ,252,Adult
Chagos ,279,Adult
Chagos ,287,Adult
Chagos ,297,Adult
Chagos ,275,Adult
Chagos ,281,Adult
Chagos ,284,Adult
Chagos ,269,Adult
Chagos ,217,Adult
Chagos ,250,Adult
Chagos ,250,Adult
Chagos ,218,Adult
Chagos ,226,Adult
Chagos ,223,Adult
Chagos ,218,Adult
Chagos ,222,Adult
Chagos ,243,Adult
Chagos ,202,Adult
Chagos ,204,Adult
Chagos ,216,Adult
Chagos ,222,Adult
Chagos ,224,Adult
Chagos ,224,Adult
Chagos ,205,Adult
Chagos ,182,Adult
Chagos ,196,Adult
Chagos ,215,Adult
Chagos ,224,Adult
Chagos ,210,Adult
Chagos ,244,Adult
Chagos ,241,Adult
Chagos ,221,Adult
Chagos ,208,Adult
Chagos ,196,Adult
Chagos ,214,Adult
Chagos ,217,Adult
Chagos ,215,Adult
Chagos ,209,Adult
Chagos ,211,Adult
Chagos ,214,Adult
Chagos ,218,Adult
Chagos ,236,Adult
Chagos ,208,Adult
Chagos ,242,Adult
Chagos ,208,Adult
Chagos ,202,Adult
Chagos ,217,Adult
Chagos ,289,Adult
Chagos ,284,Adult
Chagos ,299,Adult
Chagos ,304,Adult
Chagos ,276,Adult
Chagos ,300,Adult
Chagos ,297,Adult
Chagos ,282,Adult
Chagos ,295,Adult
Chagos ,275,Adult
Chagos ,237,Adult
Chagos ,195,Adult
Chagos ,181,Adult
Chagos ,236,Adult
Chagos ,226,Adult
Chagos ,213,Adult
Chagos ,211,Adult
Chagos ,225,Adult
Chagos ,246,Adult
Chagos ,268,Adult
Chagos ,225,Adult
Chagos ,208,Adult
Chagos ,226,Adult
Chagos ,255,Adult
Chagos ,246,Adult
Chagos ,191,Adult
Chagos ,236,Adult
Chagos ,245,Adult
Chagos ,225,Adult
Chagos ,193,Adult
Chagos ,214,Adult
Chagos ,244,Adult
Chagos ,243,Adult
Chagos ,209,Adult
Chagos ,263,Adult
Chagos ,235,Adult
Chagos ,213,Adult
Chagos ,218,Adult
Chagos ,242,Adult
Chagos ,247,Adult
Chagos ,237,Adult
Chagos ,225,Adult
Chagos ,240,Adult
Chagos ,209,Adult
Chagos ,192,Adult
Chagos ,218,Adult
Chagos ,216,Adult
Chagos ,189,Adult
Chagos ,152,Adult
Chagos ,204,Adult
Chagos ,190,Adult
Chagos ,188,Adult
Chagos ,200,Adult
Chagos ,215,Adult
Chagos ,179,Adult
Chagos ,183,Adult
Chagos ,215,Adult
Chagos ,204,Adult
Chagos ,199,Adult
Chagos ,208,Adult
Chagos ,192,Adult
Chagos ,181,Adult
Chagos ,181,Adult
Chagos ,170,Adult
Chagos ,205,Adult
Chagos ,157,Adult
Chagos ,191,Adult
Chagos ,209,Adult
Chagos ,186,Adult
Chagos ,184,Adult
Chagos ,195,Adult
Chagos ,173,Adult
Chagos ,226,Adult
Chagos ,236,Adult
Chagos ,209,Adult
Chagos ,226,Adult
Chagos ,234,Adult
Chagos ,224,Adult
Chagos ,226,Adult
Chagos ,245,Adult
Chagos ,199,Adult
Chagos ,223,Adult
Chagos ,244,Adult
Chagos ,243,Adult
Chagos ,205,Adult
Chagos ,200,Adult
Chagos ,177,Adult
Chagos ,225,Adult
Chagos ,223,Adult
Chagos ,198,Adult
Chagos ,235,Adult
Chagos ,224,Adult
Chagos ,192,Adult
Chagos ,198,Adult
Chagos ,193,Adult
Chagos ,207,Adult
Chagos ,181,Adult
Chagos ,202,Adult
Chagos ,208,Adult
Chagos ,179,Adult
Chagos ,140,Juvenile
Chagos ,210,Adult
Maldives,215,Adult
Maldives,195,Adult
Maldives,205,Adult
Maldives,180,Adult
